payment_id,customer_id,subscription_id,transaction_id,payment_date,amount_inr,payment_status,payment_method,failed_attempts
PAY000001,C0001,S00001,TXN0000001,18/07/2024,149,Success,UPI,0
PAY000002,C0001,S00001,TXN0000002,2024-08-17,149,Success,UPI,0
PAY000003,C0001,S00001,TXN0000003,2024-09-16,149,Success,Credit Card,0
PAY000004,C0001,S00001,TXN0000004,2024-10-16,149,Pending,Net Banking,0
PAY000005,C0001,S00001,TXN0000005,2024-11-15,149,Success,Debit Card,0
PAY000006,C0002,S00002,TXN0000006,2024-07-24,299,Success,UPI,0
PAY000007,C0002,S00002,TXN0000007,2024-08-23,399,Success,UPI,0
PAY000008,C0002,S00002,TXN0000008,2024-09-22,299,Success,UPI,0
PAY000009,C0002,S00002,TXN0000009,2024-10-22,299,Success,UPI,0
PAY000010,C0002,S00003,TXN0000010,2024-11-27,299,Success,UPI,0
PAY000011,C0003,S00004,TXN0000011,2023-09-11,299,Success,Paytm,0
PAY000012,C0003,S00004,TXN0000012,2023-10-11,299,Success,Debit Card,0
PAY000013,C0003,S00004,TXN0000013,2023-11-10,299,Success,Jio Money,0
PAY000014,C0003,S00004,TXN0000014,2023-12-10,299,Success,UPI,0
PAY000015,C0003,S00004,TXN0000015,2024-01-09,299,Failed,UPI,1
PAY000016,C0003,S00004,TXN0000016,2024-02-08,299,Failed,UPI,2
PAY000017,C0004,S00005,TXN0000017,2024-08-21,499,Pending,Debit Card,0
PAY000018,C0005,S00006,TXN0000018,22/10/2024,299,Pending,,1
PAY000019,C0005,S00006,TXN0000019,2024-11-21,299,Failed,Paytm,1
PAY000020,C0005,S00007,TXN0000020,2024-12-29,299,Failed,Net Banking,2
PAY000021,C0006,S00008,TXN0000021,2024-01-09,299,Pending,Credit Card,1
PAY000022,C0006,S00008,TXN0000022,2024-02-08,299,Success,Credit Card,0
PAY000023,C0006,S00008,TXN0000023,2024-03-09,299,Success,Paytm,0
PAY000024,C0006,S00008,TXN0000024,2024-04-08,299,Success,UPI,0
PAY000025,C0006,S00008,TXN0000025,2024-05-08,299,Success,Debit Card,0
PAY000026,C0006,S00008,TXN0000026,2024-06-07,299,Success,Jio Money,0
PAY000027,C0006,S00008,TXN0000027,07/07/2024,299,Success,Credit Card,0
PAY000028,C0006,S00008,TXN0000028,2024-08-06,299,Success,UPI,0
PAY000029,C0006,S00008,TXN0000029,2024-09-05,299,Success,Net Banking,0
PAY000030,C0006,S00008,TXN0000030,2024-10-05,199,Success,UPI,0
