subscription_id,customer_id,plan_id,start_date,end_date,tenure_months,renewal_count,churn_flag,churn_reason
S00001,C0001,P001,2024-07-18,2024-12-15,5,0,1,High subscription price
S00002,C0002,P002,2024-07-24,2024-11-21,4,0,1,Switched to free platform
S00003,C0002,P002,2024-11-27,2024-12-27,1,1,0,
S00004,C0003,P002,2023-09-11,2024-03-09,6,0,1,
S00005,C0004,P003,2024-08-21,2024-09-20,1,0,1,Found better OTT platform
S00006,C0005,P002,2024-10-22,2024-12-21,2,0,1,No new content added
S00007,C0005,P002,2024-12-29,2025-01-28,1,1,1,Poor customer support
S00008,C0006,P002,2024-01-09,2024-11-04,10,0,1,Switched to free platform
S00009,C0007,P001,2023-08-04,2024-12-26,17,0,1,Switched to free platform
S00010,C0008,P002,2024-07-08,2024-10-06,3,0,1,Frequent buffering issues
S00011,C0008,P002,2024-11-04,2024-12-04,1,1,0,
S00012,C0009,P004,2023-07-07,2023-08-06,1,0,0,
S00013,C0010,P003,2023-10-20,2024-07-16,9,0,0,
S00014,C0010,P003,2024-07-28,2024-12-25,5,1,0,
S00015,C0011,P001,2023-03-13,2024-03-07,12,0,0,
S00016,C0012,P003,2023-01-20,2024-04-14,15,0,0,
S00017,C0012,P001,2024-04-28,2024-05-28,1,1,1,Found better OTT platform
S00018,C0013,P001,2023-10-08,2024-01-06,3,0,0,
S00019,C0014,P001,2023-06-17,2024-09-09,15,0,1,Poor customer support
S00020,C0015,P002,2024-09-30,2024-10-30,1,0,1,No new content added
S00021,C0015,P002,2024-11-23,2024-12-23,1,1,0,
S00022,C0016,P001,2023-08-22,2024-12-14,16,0,1,Frequent buffering issues
S00023,C0017,P001,2024-03-29,2024-08-26,5,0,0,
S00024,C0018,P001,2023-10-31,2024-03-29,5,0,0,
S00025,C0018,P001,2024-04-15,2024-05-15,1,1,1,Poor customer support
S00026,C0019,P002,2023-07-01,2023-10-29,4,0,0,
S00027,C0020,P001,2023-03-16,2023-12-11,9,0,1,No new content added
S00028,C0021,P002,2024-09-10,2024-12-09,3,0,1,Poor regional content
S00029,C0022,P001,2023-03-25,2023-05-24,2,0,0,
S00030,C0022,P001,2023-06-04,2023-09-02,3,1,0,
S00031,C0023,P001,2024-07-11,2024-11-08,4,0,1,Poor regional content
S00032,C0023,P003,2024-12-07,2025-01-06,1,1,1,High subscription price
S00033,C0024,P002,2023-05-29,2024-01-24,8,0,1,Technical issues with app
S00034,C0024,P004,2024-02-08,2024-05-08,3,1,0,
S00035,C0025,P004,2023-02-01,2023-11-28,10,0,0,
S00036,C0026,P002,2024-02-19,2024-11-15,9,0,0,
S00037,C0026,P002,2024-11-20,2024-12-20,1,1,1,High subscription price
S00038,C0027,P002,2023-06-12,2024-05-07,11,0,0,
S00039,C0028,P002,2023-12-18,2024-07-15,7,0,1,Found better OTT platform
S00040,C0029,P004,2024-07-29,2024-11-26,4,0,0,
S00041,C0030,P002,2023-11-04,2024-04-02,5,0,0,
S00042,C0031,P004,2023-05-06,2023-10-03,5,0,1,Poor customer support
S00043,C0032,P001,2024-08-08,2024-12-06,4,0,0,
S00044,C0033,P002,2023-09-07,2023-11-06,2,0,0,
S00045,C0034,P001,2024-09-13,2024-10-13,1,0,1,Technical issues with app
S00046,C0035,P002,2023-12-10,2024-01-09,1,0,1,
S00047,C0036,P001,2024-02-26,2024-10-23,8,0,1,Frequent buffering issues
S00048,C0037,P003,2023-06-14,2024-11-05,17,0,0,
S00049,C0038,P002,2023-05-21,2024-04-15,11,0,0,
S00050,C0039,P001,2023-09-09,2023-10-09,1,0,0,
S00051,C0039,P002,2023-10-21,2024-06-17,8,1,0,
S00052,C0040,P003,2023-05-28,2024-09-19,16,0,0,
S00053,C0041,P004,2023-04-09,2023-09-06,5,0,0,
S00054,C0042,P004,2023-09-11,2024-09-05,12,0,0,
S00055,C0043,P002,2023-04-30,2024-04-24,12,0,0,
S00056,C0044,P002,2024-04-01,2024-06-30,3,0,0,
S00057,C0045,P004,2023-08-24,2024-11-16,15,0,0,
S00058,C0046,P002,2023-03-06,2024-03-30,13,0,1,Found better OTT platform
S00059,C0047,P001,2023-02-04,2024-05-29,16,0,0,
S00060,C0048,P002,2023-08-03,2024-04-29,9,0,1,Technical issues with app
S00061,C0048,P003,2024-05-20,2024-06-19,1,1,0,
S00062,C0049,P004,2023-10-07,2024-10-01,12,0,1,Frequent buffering issues
S00063,C0049,P002,2024-10-06,2024-12-05,2,1,1,Poor regional content
S00064,C0050,P004,2024-04-04,2024-10-01,6,0,0,
S00065,C0050,P002,2024-10-13,2024-11-12,1,1,0,
S00066,C0051,P002,2024-02-18,2024-08-16,6,0,1,
S00067,C0051,P001,2024-08-27,2024-12-25,4,1,0,
S00068,C0052,P001,2024-01-04,2024-04-03,3,0,1,High subscription price
S00069,C0053,P001,2024-10-01,2024-10-31,1,0,0,
S00070,C0053,P004,2024-11-15,2024-12-15,1,1,0,
S00071,C0054,P001,2023-12-08,2024-06-05,6,0,0,
S00072,C0055,P001,2023-11-16,2024-10-11,11,0,1,Found better OTT platform
S00073,C0056,P003,2023-01-28,2023-05-28,4,0,0,
S00074,C0057,P001,2023-12-19,2024-01-18,1,0,0,
S00075,C0058,P004,2024-08-08,2024-09-07,1,0,0,
S00076,C0059,P003,2024-10-01,2024-12-30,3,0,0,
S00077,C0060,P001,2023-06-15,2023-10-13,4,0,0,
S00078,C0061,P002,2024-02-12,2024-06-11,4,0,0,
S00079,C0062,P003,2023-03-29,2023-10-25,7,0,0,
S00080,C0063,P001,2023-07-19,2024-10-11,15,0,0,
S00081,C0064,P002,2023-06-07,2024-03-03,9,0,0,
S00082,C0065,P004,2023-05-28,2024-11-18,18,0,0,
S00083,C0066,P002,2024-07-03,2024-09-01,2,0,1,Poor regional content
S00084,C0066,P004,2024-09-15,2024-10-15,1,1,0,
S00085,C0067,P003,2024-02-07,2024-06-06,4,0,1,Found better OTT platform
S00086,C0067,P002,2024-06-14,2024-08-13,2,1,0,
S00087,C0068,P004,2023-02-09,2024-11-30,22,0,0,
S00088,C0069,P002,2023-12-24,2024-05-22,5,0,1,Poor customer support
S00089,C0069,P001,2024-05-29,2024-09-26,4,1,1,High subscription price
S00090,C0070,P002,2024-04-04,2024-07-03,3,0,0,
S00091,C0071,P004,2024-01-16,2024-02-15,1,0,0,
S00092,C0071,P002,2024-02-26,2024-05-26,3,1,0,
S00093,C0072,P004,2024-04-01,2024-07-30,4,0,1,Found better OTT platform
S00094,C0073,P002,2023-06-02,2024-02-27,9,0,1,Technical issues with app
S00095,C0074,P002,2024-07-23,2024-11-20,4,0,0,
S00096,C0075,P003,2024-05-30,2024-07-29,2,0,1,Poor regional content
S00097,C0076,P003,2024-10-19,2024-11-18,1,0,0,
S00098,C0077,P003,2024-04-15,2024-10-12,6,0,0,
S00099,C0078,P001,2023-08-10,2023-09-09,1,0,0,
S00100,C0079,P004,2024-06-03,2024-10-31,5,0,0,
S00101,C0080,P002,2024-04-14,2024-11-10,7,0,1,Poor regional content
S00102,C0081,P002,2024-08-28,2024-10-27,2,0,1,Poor customer support
S00103,C0081,P001,2024-11-09,2024-12-09,1,1,0,
S00104,C0082,P003,2024-02-26,2024-10-23,8,0,0,
S00105,C0083,P003,2023-11-03,2024-02-01,3,0,0,
S00106,C0084,P002,2023-09-25,2023-10-25,1,0,1,No new content added
S00107,C0085,P001,2024-02-26,2024-05-26,3,0,1,High subscription price
S00108,C0086,P004,2023-02-09,2023-05-10,3,0,0,
S00109,C0087,P002,2024-09-21,2024-12-20,3,0,1,
S00110,C0088,P003,2023-12-05,2024-12-29,13,0,1,Technical issues with app
S00111,C0089,P003,2024-03-05,2024-09-01,6,0,1,Frequent buffering issues
S00112,C0089,P003,2024-09-12,2024-12-11,3,1,0,
S00113,C0090,P003,2023-08-02,2024-01-29,6,0,0,
S00114,C0091,P003,2023-03-06,2024-05-29,15,0,0,
S00115,C0091,P002,2024-06-03,2024-10-31,5,1,0,
S00116,C0092,P002,2023-08-19,2023-11-17,3,0,1,Poor customer support
S00117,C0092,P002,2023-12-08,2024-02-06,2,1,0,
S00118,C0093,P004,2024-09-09,2024-11-08,2,0,0,
S00119,C0094,P004,2023-11-04,2024-07-31,9,0,0,
S00120,C0095,P002,2023-03-02,2024-08-23,18,0,0,
S00121,C0096,P001,2024-07-27,2024-09-25,2,0,0,
S00122,C0097,P001,2023-10-01,2024-07-27,10,0,0,
S00123,C0098,P001,2023-09-10,2024-10-04,13,0,1,Technical issues with app
S00124,C0099,P004,2023-06-10,2024-10-02,16,0,0,
S00125,C0100,P003,2023-07-25,2023-11-22,4,0,0,
S00126,C0101,P003,2023-06-28,2024-04-23,10,0,0,
S00127,C0102,P002,2023-03-24,2024-09-14,18,0,1,Switched to free platform
S00128,C0103,P002,2024-01-01,2024-07-29,7,0,1,Technical issues with app
S00129,C0104,P003,2023-07-13,2024-08-06,13,0,0,
S00130,C0105,P004,2023-10-11,2023-12-10,2,0,1,Technical issues with app
S00131,C0106,P003,2024-01-28,2024-12-23,11,0,0,
