usage_id,customer_id,subscription_id,avg_watch_hours_per_day,sessions_per_week,last_login_days_ago,content_type_preference,completion_rate_pct,peak_usage_time
U00001,C0001,S00001,1.98,1,46,Web Series,32.2,Morning
U00002,C0002,S00002,0.64,1,82,Documentary,18.11,Evening
U00003,C0002,S00003,4.64,10,5,Sports,88.45,Evening
U00004,C0003,S00004,0.6,3,42,Kids,17.32,Afternoon
U00005,C0004,S00005,-1.93,4,90,Documentary,51.55,Morning
U00006,C0005,S00006,1.11,3,73,Kids,39.83,Evening
U00007,C0005,S00007,-2.4,1,29,Bollywood,21.54,Night
U00008,C0006,S00008,2.29,3,78,Web Series,15.62,Evening
U00009,C0007,S00009,0.56,2,80,Documentary,25.9,Afternoon
U00010,C0008,S00010,2.48,4,67,Bollywood,40.93,Evening
U00011,C0008,S00011,4.06,5,1,News,93.21,Morning
U00012,C0009,S00012,4.17,10,7,Sports,80.33,Evening
U00013,C0010,S00013,4.87,13,0,Bollywood,75.92,Evening
U00014,C0010,S00014,2.24,5,13,Bollywood,58.87,Night
U00015,C0011,S00015,3.09,7,1,Bollywood,64.65,Night
U00016,C0012,S00016,5.39,12,4,Regional Cinema,66.0,Evening
U00017,C0012,S00017,1.49,4,54,Web Series,41.0,Morning
U00018,C0013,S00018,3.49,15,5,Web Series,81.04,Night
U00019,C0014,S00019,1.71,,70,Bollywood,42.97,Evening
U00020,C0015,S00020,2.28,5,25,Documentary,22.98,Afternoon
U00021,C0015,S00021,5.43,6,1,Documentary,91.41,Night
U00022,C0016,S00022,0.49,4,51,Regional Cinema,54.88,Night
U00023,C0017,S00023,2.53,13,3,News,81.35,Evening
U00024,C0018,S00024,4.5,6,9,Kids,85.85,Afternoon
U00025,C0018,S00025,0.94,4,19,Bollywood,18.26,Afternoon
U00026,C0019,S00026,4.47,13,13,News,91.56,Morning
U00027,C0020,S00027,1.16,5,19,Bollywood,25.87,Evening
U00028,C0021,S00028,0.9,5,74,Sports,45.55,Morning
U00029,C0022,S00029,5.03,9,7,Documentary,,Morning
U00030,C0022,S00030,2.2,14,8,News,55.87,Morning
U00031,C0023,S00031,2.37,1,79,Regional Cinema,53.73,Afternoon
U00032,C0023,S00032,0.99,4,58,Regional Cinema,51.61,Morning
U00033,C0024,S00033,1.71,2,44,Kids,30.35,Night
U00034,C0024,S00034,1.75,15,10,Kids,91.32,Evening
U00035,C0025,S00035,3.3,13,4,Web Series,69.15,Morning
U00036,C0026,S00036,5.06,7,13,Bollywood,63.55,Afternoon
U00037,C0026,S00037,0.66,4,39,News,29.51,Night
U00038,C0027,S00038,2.1,10,9,Web Series,90.97,Night
U00039,C0028,S00039,1.49,4,46,Web Series,38.19,Evening
U00040,C0029,S00040,2.34,6,8,Regional Cinema,70.64,Evening
U00041,C0030,S00041,4.73,7,11,Sports,96.25,Night
U00042,C0031,S00042,0.47,1,64,Web Series,17.94,Morning
U00043,C0032,S00043,-2.43,6,8,Documentary,77.01,Morning
U00044,C0033,S00044,2.63,8,7,Bollywood,80.5,Afternoon
U00045,C0034,S00045,0.8,3,35,Documentary,36.59,Evening
U00046,C0035,S00046,1.38,4,47,Kids,50.91,Night
U00047,C0036,S00047,2.24,,43,News,34.83,Afternoon
U00048,C0037,S00048,2.62,9,3,Sports,55.67,Night
U00049,C0038,S00049,3.6,11,11,Kids,,Evening
U00050,C0039,S00050,2.57,7,6,Bollywood,71.52,Afternoon
U00051,C0039,S00051,2.18,4,9,Sports,71.37,Afternoon
U00052,C0040,S00052,2.75,10,8,Sports,94.25,Evening
U00053,C0041,S00053,3.74,4,8,Kids,92.97,Night
U00054,C0042,S00054,2.11,14,11,Documentary,68.72,Evening
U00055,C0043,S00055,3.08,5,5,Bollywood,79.48,Evening
U00056,C0044,S00056,1.83,10,5,Sports,72.49,Afternoon
U00057,C0045,S00057,3.59,14,2,Documentary,62.03,Afternoon
U00058,C0046,S00058,0.76,1,32,Kids,39.51,Evening
U00059,C0047,S00059,2.21,4,10,Web Series,55.91,Afternoon
U00060,C0048,S00060,2.1,3,44,Web Series,17.71,Morning
U00061,C0048,S00061,3.18,8,10,Web Series,76.34,Afternoon
U00062,C0049,S00062,1.84,,52,Bollywood,50.21,Evening
U00063,C0049,S00063,1.25,3,88,Documentary,47.13,Morning
U00064,C0050,S00064,4.2,13,4,Regional Cinema,88.42,Evening
U00065,C0050,S00065,5.4,14,0,Web Series,,Morning
U00066,C0051,S00066,0.49,3,73,Bollywood,54.5,Evening
U00067,C0051,S00067,4.06,8,12,Bollywood,72.97,Afternoon
U00068,C0052,S00068,0.51,3,70,Kids,,Afternoon
U00069,C0053,S00069,4.46,6,9,Web Series,86.63,Night
U00070,C0053,S00070,5.31,15,3,Web Series,59.15,Evening
U00071,C0054,S00071,5.28,9,9,Kids,72.43,Afternoon
U00072,C0055,S00072,2.39,5,85,News,37.24,Morning
U00073,C0056,S00073,5.12,15,12,Regional Cinema,93.34,Morning
U00074,C0057,S00074,5.32,12,10,Documentary,87.09,Night
U00075,C0058,S00075,4.6,10,6,Kids,74.83,Evening
U00076,C0059,S00076,2.0,5,13,Web Series,66.52,Morning
U00077,C0060,S00077,3.89,15,11,Regional Cinema,80.03,Morning
U00078,C0061,S00078,4.93,7,5,Bollywood,56.37,Night
U00079,C0062,S00079,3.39,12,4,Regional Cinema,68.03,Evening
U00080,C0063,S00080,4.14,12,10,Kids,81.67,Morning
U00081,C0064,S00081,1.59,10,9,Regional Cinema,78.48,Evening
U00082,C0065,S00082,2.77,11,6,Kids,62.56,Morning
U00083,C0066,S00083,2.18,5,58,Bollywood,18.93,Afternoon
U00084,C0066,S00084,1.82,11,12,Web Series,57.61,Afternoon
U00085,C0067,S00085,0.67,3,80,Regional Cinema,31.95,Morning
U00086,C0067,S00086,2.34,15,6,Web Series,75.16,Evening
U00087,C0068,S00087,3.56,15,9,Web Series,55.33,Night
U00088,C0069,S00088,1.45,3,85,Documentary,30.14,Evening
U00089,C0069,S00089,2.01,2,85,Bollywood,35.39,Evening
U00090,C0070,S00090,2.64,15,8,Documentary,57.84,Morning
U00091,C0071,S00091,4.88,6,3,Sports,86.42,Afternoon
U00092,C0071,S00092,-1.79,,9,Bollywood,71.19,Evening
U00093,C0072,S00093,1.56,1,42,Sports,23.33,Afternoon
U00094,C0073,S00094,0.53,3,28,Regional Cinema,46.16,Night
U00095,C0074,S00095,4.95,,1,Web Series,93.95,Morning
U00096,C0075,S00096,1.44,3,34,Sports,26.05,Afternoon
U00097,C0076,S00097,1.85,8,2,Sports,58.67,Evening
U00098,C0077,S00098,5.07,4,2,Bollywood,83.22,Morning
U00099,C0078,S00099,2.68,5,8,Kids,92.22,Morning
U00100,C0079,S00100,1.69,15,9,Bollywood,96.5,Evening
U00101,C0080,S00101,0.6,,46,Regional Cinema,28.3,Night
U00102,C0081,S00102,2.03,1,82,Web Series,48.22,Evening
U00103,C0081,S00103,4.05,12,0,Kids,73.09,Night
U00104,C0082,S00104,3.55,6,3,Kids,67.22,Night
U00105,C0083,S00105,5.36,6,12,Documentary,82.58,Morning
U00106,C0084,S00106,2.13,5,29,Bollywood,26.64,Night
U00107,C0085,S00107,1.68,2,52,Web Series,44.87,Morning
U00108,C0086,S00108,1.79,10,12,News,84.67,Evening
U00109,C0087,S00109,1.74,5,75,Sports,53.01,Evening
U00110,C0088,S00110,-1.06,5,21,Web Series,17.2,Morning
U00111,C0089,S00111,2.25,3,42,Kids,26.07,Morning
U00112,C0089,S00112,5.32,12,9,News,75.84,Morning
U00113,C0090,S00113,-0.89,11,0,Bollywood,60.31,Afternoon
U00114,C0091,S00114,4.77,6,7,Bollywood,76.89,Evening
U00115,C0091,S00115,3.55,7,7,Documentary,75.51,Night
U00116,C0092,S00116,2.31,4,24,Web Series,39.99,Night
U00117,C0092,S00117,3.7,5,11,Documentary,86.32,Morning
U00118,C0093,S00118,2.29,11,5,Regional Cinema,63.74,Evening
U00119,C0094,S00119,5.42,10,7,News,86.53,Afternoon
U00120,C0095,S00120,3.26,13,2,Sports,85.96,Afternoon
U00121,C0096,S00121,-2.57,10,13,Regional Cinema,94.37,Morning
U00122,C0097,S00122,1.66,8,12,News,71.55,Morning
U00123,C0098,S00123,0.86,5,48,Web Series,,Night
U00124,C0099,S00124,4.73,15,12,News,60.61,Evening
U00125,C0100,S00125,3.06,14,12,Sports,77.3,Afternoon
U00126,C0101,S00126,2.35,6,6,Web Series,69.86,Evening
U00127,C0102,S00127,0.87,2,80,Web Series,17.14,Evening
U00128,C0103,S00128,2.09,1,54,Kids,41.92,Night
U00129,C0104,S00129,4.18,10,4,Sports,67.94,Evening
U00130,C0105,S00130,2.35,5,56,Web Series,22.84,Afternoon
U00131,C0106,S00131,4.68,12,7,Web Series,85.12,Afternoon
U00132,C0107,S00132,1.73,3,86,News,34.34,Evening
U00133,C0108,S00133,3.03,5,12,Regional Cinema,92.71,Morning
U00134,C0109,S00134,-0.84,2,88,Regional Cinema,16.13,Morning
U00135,C0110,S00135,2.39,,68,Web Series,49.92,Afternoon
U00136,C0111,S00136,1.96,13,7,Sports,96.67,Night
U00137,C0111,S00137,0.91,,69,Sports,24.36,Morning
U00138,C0112,S00138,1.25,5,52,Regional Cinema,20.35,Evening
U00139,C0113,S00139,2.03,5,62,Sports,53.57,Evening
U00140,C0114,S00140,3.75,11,9,News,,Morning
U00141,C0115,S00141,-0.83,12,1,Bollywood,94.52,Afternoon
U00142,C0115,S00142,1.02,1,48,Web Series,38.97,Afternoon
U00143,C0116,S00143,0.72,4,30,Web Series,19.85,Night
U00144,C0116,S00144,2.33,4,41,Bollywood,17.82,Night
U00145,C0117,S00145,4.67,4,2,Kids,89.22,Evening
U00146,C0118,S00146,1.56,2,34,Bollywood,46.06,Night
U00147,C0118,S00147,1.74,3,22,Bollywood,22.36,Afternoon
U00148,C0119,S00148,1.65,10,10,Kids,58.2,Afternoon
U00149,C0120,S00149,2.36,5,41,Kids,33.13,Afternoon
U00150,C0121,S00150,5.24,9,6,Documentary,70.01,Morning
U00151,C0122,S00151,3.76,11,10,Sports,,Evening
U00152,C0123,S00152,3.56,12,12,Kids,77.3,Morning
U00153,C0124,S00153,0.94,5,24,Regional Cinema,17.74,Morning
U00154,C0125,S00154,0.69,5,60,Web Series,25.71,Afternoon
U00155,C0126,S00155,1.23,2,17,News,25.91,Morning
U00156,C0126,S00156,3.53,8,13,Regional Cinema,79.5,Afternoon
U00157,C0127,S00157,0.42,4,69,Regional Cinema,31.18,Night
U00158,C0128,S00158,1.88,5,32,Web Series,23.74,Morning
U00159,C0129,S00159,0.7,5,22,Documentary,21.02,Afternoon
U00160,C0130,S00160,5.09,9,3,News,74.95,Night
U00161,C0131,S00161,1.23,1,83,Sports,53.6,Evening
U00162,C0132,S00162,4.15,10,5,Web Series,78.88,Night
U00163,C0133,S00163,4.36,6,1,Bollywood,82.18,Morning
U00164,C0134,S00164,1.56,2,58,News,32.8,Afternoon
U00165,C0135,S00165,5.11,9,12,Sports,83.57,Morning
U00166,C0135,S00166,5.2,10,11,Bollywood,,Morning
U00167,C0136,S00167,1.02,2,78,Bollywood,19.71,Evening
U00168,C0137,S00168,5.28,7,10,Regional Cinema,63.13,Morning
U00169,C0138,S00169,0.64,3,72,Kids,44.43,Afternoon
U00170,C0139,S00170,1.82,10,4,Kids,83.84,Night
U00171,C0139,S00171,1.78,2,24,Web Series,,Night
U00172,C0140,S00172,1.08,3,78,News,29.71,Afternoon
U00173,C0141,S00173,3.72,13,6,Documentary,89.4,Night
U00174,C0142,S00174,4.12,4,0,News,93.71,Afternoon
U00175,C0143,S00175,1.97,3,46,Bollywood,43.92,Morning
U00176,C0143,S00176,1.61,12,6,Kids,86.88,Afternoon
U00177,C0144,S00177,0.68,3,74,Web Series,26.67,Morning
U00178,C0145,S00178,0.31,4,62,Documentary,35.65,Night
U00179,C0146,S00179,4.12,12,7,News,79.08,Afternoon
U00180,C0147,S00180,2.97,15,2,Sports,74.0,Night
U00181,C0148,S00181,0.38,,31,Kids,46.54,Night
U00182,C0149,S00182,3.22,8,1,News,72.86,Morning
U00183,C0149,S00183,2.82,11,3,Sports,59.43,Morning
U00184,C0150,S00184,-2.04,9,0,Regional Cinema,70.18,Night
U00185,C0151,S00185,1.67,14,12,Regional Cinema,55.75,Afternoon
U00186,C0152,S00186,3.68,7,2,Sports,,Evening
U00187,C0153,S00187,1.07,3,36,Sports,25.94,Afternoon
U00188,C0153,S00188,2.21,5,66,Kids,19.08,Afternoon
U00189,C0154,S00189,3.25,10,7,News,64.96,Evening
U00190,C0155,S00190,-2.06,2,52,Bollywood,39.56,Afternoon
U00191,C0156,S00191,2.14,11,1,Regional Cinema,69.98,Evening
U00192,C0157,S00192,4.42,9,10,Kids,96.24,Evening
U00193,C0158,S00193,1.83,1,55,Web Series,53.88,Afternoon
U00194,C0159,S00194,1.85,7,3,Documentary,71.89,Evening
U00195,C0160,S00195,1.19,2,80,Bollywood,15.43,Afternoon
U00196,C0160,S00196,2.23,2,35,Bollywood,29.77,Morning
U00197,C0161,S00197,0.52,1,52,Web Series,42.3,Afternoon
U00198,C0162,S00198,3.35,12,12,Documentary,93.29,Night
U00199,C0162,S00199,2.33,1,86,Sports,44.57,Afternoon
U00200,C0163,S00200,1.07,,24,Bollywood,20.7,Afternoon
U00201,C0164,S00201,0.87,1,31,Web Series,40.52,Afternoon
U00202,C0164,S00202,0.5,1,71,Documentary,19.13,Evening
U00203,C0165,S00203,2.64,6,2,Regional Cinema,87.45,Morning
U00204,C0165,S00204,0.98,5,85,Bollywood,,Afternoon
U00205,C0166,S00205,3.24,7,9,News,74.4,Evening
U00206,C0167,S00206,2.27,14,1,Bollywood,55.39,Morning
U00207,C0168,S00207,2.12,3,20,Web Series,49.47,Night
U00208,C0168,S00208,1.93,4,27,Sports,22.76,Evening
U00209,C0169,S00209,3.32,8,0,Web Series,81.4,Morning
U00210,C0170,S00210,3.11,8,11,Web Series,87.7,Night
U00211,C0171,S00211,1.99,1,21,Sports,35.53,Evening
U00212,C0171,S00212,0.32,2,18,Documentary,45.02,Morning
U00213,C0172,S00213,1.02,5,49,Sports,39.55,Night
U00214,C0173,S00214,3.6,8,12,News,71.96,Night
U00215,C0173,S00215,1.74,2,18,Kids,17.87,Morning
U00216,C0174,S00216,4.28,9,12,News,61.48,Evening
U00217,C0175,S00217,2.59,5,3,Documentary,89.26,Evening
U00218,C0176,S00218,1.29,2,88,News,15.75,Afternoon
U00219,C0177,S00219,2.47,2,51,Regional Cinema,46.27,Morning
U00220,C0178,S00220,1.73,2,38,Sports,33.11,Night
U00221,C0179,S00221,4.4,13,7,Documentary,91.44,Evening
U00222,C0180,S00222,1.1,2,18,Kids,28.13,Evening
U00223,C0181,S00223,1.77,3,55,News,,Morning
U00224,C0182,S00224,1.2,2,16,News,35.24,Morning
U00225,C0183,S00225,2.93,9,7,News,62.47,Night
U00226,C0184,S00226,4.61,,8,Kids,88.99,Afternoon
U00227,C0185,S00227,1.72,5,78,Documentary,49.5,Night
U00228,C0186,S00228,2.3,12,10,News,69.5,Evening
U00229,C0187,S00229,2.4,,56,Regional Cinema,47.67,Afternoon
U00230,C0188,S00230,3.19,12,11,Bollywood,87.69,Night
U00231,C0188,S00231,1.03,4,86,Regional Cinema,18.07,Afternoon
U00232,C0189,S00232,0.56,1,48,Regional Cinema,19.92,Night
U00233,C0190,S00233,1.67,10,12,Kids,94.16,Afternoon
U00234,C0190,S00234,1.73,4,13,Sports,69.27,Evening
U00235,C0191,S00235,5.02,8,1,Documentary,77.19,Evening
U00236,C0192,S00236,4.22,4,7,News,86.06,Morning
U00237,C0193,S00237,4.79,8,6,Regional Cinema,69.76,Evening
U00238,C0194,S00238,2.32,9,9,Regional Cinema,74.62,Evening
U00239,C0194,S00239,1.14,1,23,Documentary,,Night
U00240,C0195,S00240,1.72,3,18,News,24.07,Evening
U00241,C0196,S00241,5.08,7,2,Bollywood,94.33,Evening
U00242,C0197,S00242,4.17,10,12,Kids,73.96,Evening
U00243,C0197,S00243,4.51,8,12,Sports,94.49,Night
U00244,C0198,S00244,3.77,8,6,Web Series,82.29,Afternoon
U00245,C0198,S00245,-1.4,5,2,Bollywood,57.39,Morning
